"File","Reads","Writes","Listeners","Total"
"D:\Antygravity\FPI-Future-Factory-juli-augustus\src\utils\orderLabelSearch.ts","101","5","0","106"
"D:\Antygravity\FPI-Future-Factory-juli-augustus\src\services\aiService.ts","33","4","0","37"
"D:\Antygravity\FPI-Future-Factory-juli-augustus\src\components\admin\AdminToolingMoldsView.tsx","14","9","4","27"
"D:\Antygravity\FPI-Future-Factory-juli-augustus\src\components\digitalplanning\modals\ProductionStartModal.tsx","15","6","5","26"
"D:\Antygravity\FPI-Future-Factory-juli-augustus\src\components\digitalplanning\WorkstationHub.tsx","12","4","9","25"
"D:\Antygravity\FPI-Future-Factory-juli-augustus\src\components\printer\PrintQueueAdminView.tsx","15","0","6","21"
"D:\Antygravity\FPI-Future-Factory-juli-augustus\src\components\admin\AdminPrinterManager.tsx","7","10","4","21"
"D:\Antygravity\FPI-Future-Factory-juli-augustus\src\components\admin\AdminUsersView.tsx","0","11","5","16"
"D:\Antygravity\FPI-Future-Factory-juli-augustus\src\components\admin\ProductionTimeStandardsManager.tsx","4","7","4","15"
"D:\Antygravity\FPI-Future-Factory-juli-augustus\src\components\admin\AdminDatabaseView.tsx","8","7","0","15"
"D:\Antygravity\FPI-Future-Factory-juli-augustus\src\components\digitalplanning\MazakView.tsx","5","3","7","15"
"D:\Antygravity\FPI-Future-Factory-juli-augustus\src\components\printer\PrintStationView.tsx","12","0","3","15"
"D:\Antygravity\FPI-Future-Factory-juli-augustus\src\components\admin\AdminReportsView.tsx","15","0","0","15"
"D:\Antygravity\FPI-Future-Factory-juli-augustus\src\components\admin\AdminMessagesView.tsx","4","7","3","14"
"D:\Antygravity\FPI-Future-Factory-juli-augustus\src\components\admin\PersonnelManager.tsx","0","8","6","14"
"D:\Antygravity\FPI-Future-Factory-juli-augustus\src\components\planning\NotificationRulesView.tsx","0","8","5","13"
"D:\Antygravity\FPI-Future-Factory-juli-augustus\src\components\admin\ProductForm.tsx","11","2","0","13"
"D:\Antygravity\FPI-Future-Factory-juli-augustus\src\components\planning\AutomationRulesView.tsx","0","8","4","12"
"D:\Antygravity\FPI-Future-Factory-juli-augustus\src\components\ai\AiChatView.tsx","8","4","0","12"
"D:\Antygravity\FPI-Future-Factory-juli-augustus\src\utils\automationEngine.ts","12","0","0","12"
"D:\Antygravity\FPI-Future-Factory-juli-augustus\src\App.tsx","10","2","0","12"
"D:\Antygravity\FPI-Future-Factory-juli-augustus\src\utils\conversionLogic.ts","11","0","0","11"
"D:\Antygravity\FPI-Future-Factory-juli-augustus\src\components\digitalplanning\OrderDetail.tsx","9","0","2","11"
"D:\Antygravity\FPI-Future-Factory-juli-augustus\src\components\ai\FlashcardManager.tsx","2","5","3","10"
"D:\Antygravity\FPI-Future-Factory-juli-augustus\src\components\digitalplanning\modals\ProductDossierModal.tsx","10","0","0","10"
